state_of_residence,state_of_residence_code,year,year_code,month,month_code,weekday,weekday_code,time_of_day,time_of_day_code,births,delivery_method
Alabama,1,2022,2022,January,1,Weekend,1,00:00 - 02:59,0,69,vaginal
Alabama,1,2022,2022,January,1,Weekend,1,03:00 - 05:59,1,48,vaginal
Alabama,1,2022,2022,January,1,Weekend,1,06:00 - 08:59,2,74,vaginal
Alabama,1,2022,2022,January,1,Weekend,1,09:00 - 11:59,3,101,vaginal
Alabama,1,2022,2022,January,1,Weekend,1,12:00 - 14:59,4,95,vaginal
Alabama,1,2022,2022,January,1,Weekend,1,15:00 - 17:59,5,91,vaginal
Alabama,1,2022,2022,January,1,Weekend,1,18:00 - 20:59,6,71,vaginal
Alabama,1,2022,2022,January,1,Weekend,1,21:00 - 23:59,7,60,vaginal
Alabama,1,2022,2022,January,1,Weekday,2,00:00 - 02:59,0,136,vaginal
Alabama,1,2022,2022,January,1,Weekday,2,03:00 - 05:59,1,174,vaginal
Alabama,1,2022,2022,January,1,Weekday,2,06:00 - 08:59,2,231,vaginal
Alabama,1,2022,2022,January,1,Weekday,2,09:00 - 11:59,3,432,vaginal
Alabama,1,2022,2022,January,1,Weekday,2,12:00 - 14:59,4,564,vaginal
Alabama,1,2022,2022,January,1,Weekday,2,15:00 - 17:59,5,464,vaginal
Alabama,1,2022,2022,January,1,Weekday,2,18:00 - 20:59,6,308,vaginal
Alabama,1,2022,2022,January,1,Weekday,2,21:00 - 23:59,7,228,vaginal
Alabama,1,2022,2022,February,2,Weekend,1,00:00 - 02:59,0,52,vaginal
Alabama,1,2022,2022,February,2,Weekend,1,03:00 - 05:59,1,47,vaginal
Alabama,1,2022,2022,February,2,Weekend,1,06:00 - 08:59,2,45,vaginal
Alabama,1,2022,2022,February,2,Weekend,1,09:00 - 11:59,3,65,vaginal
Alabama,1,2022,2022,February,2,Weekend,1,12:00 - 14:59,4,74,vaginal
Alabama,1,2022,2022,February,2,Weekend,1,15:00 - 17:59,5,62,vaginal
Alabama,1,2022,2022,February,2,Weekend,1,18:00 - 20:59,6,56,vaginal
Alabama,1,2022,2022,February,2,Weekend,1,21:00 - 23:59,7,54,vaginal
Alabama,1,2022,2022,February,2,Weekday,2,00:00 - 02:59,0,144,vaginal
Alabama,1,2022,2022,February,2,Weekday,2,03:00 - 05:59,1,179,vaginal
Alabama,1,2022,2022,February,2,Weekday,2,06:00 - 08:59,2,212,vaginal
Alabama,1,2022,2022,February,2,Weekday,2,09:00 - 11:59,3,417,vaginal
Alabama,1,2022,2022,February,2,Weekday,2,12:00 - 14:59,4,520,vaginal
Alabama,1,2022,2022,February,2,Weekday,2,15:00 - 17:59,5,396,vaginal
Alabama,1,2022,2022,February,2,Weekday,2,18:00 - 20:59,6,308,vaginal
Alabama,1,2022,2022,February,2,Weekday,2,21:00 - 23:59,7,199,vaginal
Alabama,1,2022,2022,March,3,Weekend,1,00:00 - 02:59,0,59,vaginal
Alabama,1,2022,2022,March,3,Weekend,1,03:00 - 05:59,1,41,vaginal
Alabama,1,2022,2022,March,3,Weekend,1,06:00 - 08:59,2,54,vaginal
Alabama,1,2022,2022,March,3,Weekend,1,09:00 - 11:59,3,65,vaginal
Alabama,1,2022,2022,March,3,Weekend,1,12:00 - 14:59,4,57,vaginal
Alabama,1,2022,2022,March,3,Weekend,1,15:00 - 17:59,5,69,vaginal
Alabama,1,2022,2022,March,3,Weekend,1,18:00 - 20:59,6,42,vaginal
Alabama,1,2022,2022,March,3,Weekend,1,21:00 - 23:59,7,43,vaginal
Alabama,1,2022,2022,March,3,Weekday,2,00:00 - 02:59,0,153,vaginal
Alabama,1,2022,2022,March,3,Weekday,2,03:00 - 05:59,1,179,vaginal
Alabama,1,2022,2022,March,3,Weekday,2,06:00 - 08:59,2,284,vaginal
Alabama,1,2022,2022,March,3,Weekday,2,09:00 - 11:59,3,481,vaginal
Alabama,1,2022,2022,March,3,Weekday,2,12:00 - 14:59,4,559,vaginal
Alabama,1,2022,2022,March,3,Weekday,2,15:00 - 17:59,5,499,vaginal
Alabama,1,2022,2022,March,3,Weekday,2,18:00 - 20:59,6,332,vaginal
Alabama,1,2022,2022,March,3,Weekday,2,21:00 - 23:59,7,248,vaginal
Alabama,1,2022,2022,April,4,Weekend,1,00:00 - 02:59,0,53,vaginal
Alabama,1,2022,2022,April,4,Weekend,1,03:00 - 05:59,1,50,vaginal
Alabama,1,2022,2022,April,4,Weekend,1,06:00 - 08:59,2,63,vaginal
Alabama,1,2022,2022,April,4,Weekend,1,09:00 - 11:59,3,78,vaginal
Alabama,1,2022,2022,April,4,Weekend,1,12:00 - 14:59,4,77,vaginal
Alabama,1,2022,2022,April,4,Weekend,1,15:00 - 17:59,5,73,vaginal
Alabama,1,2022,2022,April,4,Weekend,1,18:00 - 20:59,6,53,vaginal
